SampleID,10x,15x,20x,40x,50x
2017_AAA,95.55,95.13,94.17,47.97,10.32
2261_AAA,95.61,95.30,94.67,65.48,22.73
2003_AAA,95.54,95.02,93.70,36.91,5.96
2214_AAA,95.48,94.88,93.31,29.07,3.79
2157_AAA,95.36,94.25,90.52,10.27,1.06
2193_AAA,95.53,95.07,93.97,41.94,7.60
2171_AAA,95.48,94.87,93.27,29.41,3.81
2168_AAA,95.51,94.79,92.87,60.93,20.56
1394_AAA,95.52,94.70,92.48,53.47,14.15
2023_AAA,95.58,95.23,94.46,56.04,15.57
2208_AAA,95.50,94.73,92.78,62.85,25.75
2257_AAA,95.38,94.22,91.62,57.99,23.46
2145_AAA,95.41,94.17,91.21,35.94,5.65
2152_AAA,95.45,94.33,91.56,40.22,7.12
2074_AAA,95.26,93.46,89.66,21.92,2.50
2063_AAA,95.56,95.11,94.06,44.05,8.57
2052_AAA,95.41,94.24,91.45,40.99,7.77
2181_AAA,95.07,92.90,88.45,17.28,1.77
2173_AAA,95.38,94.20,91.39,40.82,7.59
2162_AAA,95.49,94.77,92.83,59.89,19.68
2142_AAA,95.52,94.68,92.45,52.03,13.11
2161_AAA,95.55,95.14,94.24,50.38,11.23
2517_AAA,95.23,93.36,89.42,20.95,2.30
2021_AAA,95.54,94.89,93.08,62.46,21.65
2166_AAA,95.35,94.06,91.04,36.74,6.21
2048_AAA,92.53,91.13,87.99,32.40,5.32
2134_AAA,95.44,94.34,91.63,40.96,7.54
2078_AAA,95.25,93.45,89.60,21.79,2.42
2196_AAA,95.56,94.92,93.14,62.94,22.22
2102_AAA,95.29,93.65,90.10,25.71,3.12
2269_AAA,95.12,93.08,88.87,28.27,4.59
2179_AAA,95.09,93.21,86.55,4.82,0.66
2155_AAA,95.12,92.90,88.29,15.23,1.53
2072_AAA,95.53,94.84,92.95,60.88,20.61
2239_AAA,95.41,94.10,91.10,36.17,6.06
1344_AAA,95.55,95.11,94.07,44.79,8.56
2221_AAA,95.41,94.55,91.75,22.28,2.80
2042_AAA,95.52,95.01,93.70,34.44,5.10
2184_AAA,95.47,94.84,93.17,27.48,3.38
2066_AAA,95.59,95.24,94.52,57.28,15.21
2059_AAA,95.54,95.07,93.95,41.42,7.60
2170_AAA,95.47,94.62,92.40,53.56,14.24
1409_AAA,95.47,94.57,92.20,50.68,12.46
2198_AAA,95.51,94.96,93.53,31.59,4.38
2087_AAA,95.02,92.59,87.56,12.94,1.27
1406_AAA,95.59,95.23,94.45,58.86,16.70
2194_AAA,95.62,95.26,94.23,78.60,47.11
2024_AAA,95.47,94.48,91.96,47.24,10.75
2077_AAA,95.31,93.75,90.28,27.67,3.65
2185_AAA,95.40,94.59,92.27,20.43,2.16
